"record_id","date","batch_name","device","subdevice","port","label","experiment_id","raw_file_path","trigger_file_path","created_at","updated_at","active","notes","param_repeat","param_voltage_v","param_current_ma","param_temperature_c","param_to_voltage_v","param_to_current_ma","param_tec_voltage_v","param_tec_current_ma"
"rec_0001","16_6_2026","2026_Vernier_Batch1_Row4","single_bus","single_bus","single_bus","single_bus_single_bus_single_bus","16_6_2026","experiments/16_6_2026/raw/TEK00026.csv","experiments/16_6_2026/raw/TEK00027.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0002","16_6_2026","2026_Vernier_Batch1_Row4","V10","single_ring_1","through","V10_single_ring_1_through","16_6_2026","experiments/16_6_2026/raw/TEK00022.csv","experiments/16_6_2026/raw/TEK00023.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0003","16_6_2026","2026_Vernier_Batch1_Row4","V10","single_ring_1","drop_single","V10_single_ring_1_drop_single","16_6_2026","experiments/16_6_2026/raw/TEK00024.csv","experiments/16_6_2026/raw/TEK00025.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0004","16_6_2026","2026_Vernier_Batch1_Row4","V10","single_ring_2","through","V10_single_ring_2_through","16_6_2026","experiments/16_6_2026/raw/TEK00028.csv","experiments/16_6_2026/raw/TEK00029.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0005","16_6_2026","2026_Vernier_Batch1_Row4","V10","single_ring_2","drop_single","V10_single_ring_2_drop_single","16_6_2026","experiments/16_6_2026/raw/TEK00030.csv","experiments/16_6_2026/raw/TEK00031.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0006","16_6_2026","2026_Vernier_Batch1_Row4","V5","single_ring_1","through","V5_single_ring_1_through","16_6_2026","experiments/16_6_2026/raw/TEK00032.csv","experiments/16_6_2026/raw/TEK00033.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0007","16_6_2026","2026_Vernier_Batch1_Row4","V5","single_ring_1","drop_single","V5_single_ring_1_drop_single","16_6_2026","experiments/16_6_2026/raw/TEK00034.csv","experiments/16_6_2026/raw/TEK00035.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0008","16_6_2026","2026_Vernier_Batch1_Row4","V5","single_ring_2","through","V5_single_ring_2_through","16_6_2026","experiments/16_6_2026/raw/TEK00036.csv","experiments/16_6_2026/raw/TEK00037.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0009","16_6_2026","2026_Vernier_Batch1_Row4","V5","single_ring_2","drop_single","V5_single_ring_2_drop_single","16_6_2026","experiments/16_6_2026/raw/TEK00038.csv","experiments/16_6_2026/raw/TEK00039.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0010","16_6_2026","2026_Vernier_Batch1_Row4","V7","single_ring_1","through","V7_single_ring_1_through","16_6_2026","experiments/16_6_2026/raw/TEK00042.csv","experiments/16_6_2026/raw/TEK00043.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0011","16_6_2026","2026_Vernier_Batch1_Row4","V7","single_ring_1","drop_single","V7_single_ring_1_drop_single","16_6_2026","experiments/16_6_2026/raw/TEK00044.csv","experiments/16_6_2026/raw/TEK00045.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0012","16_6_2026","2026_Vernier_Batch1_Row4","V7","single_ring_2","through","V7_single_ring_2_through","16_6_2026","experiments/16_6_2026/raw/TEK00046.csv","experiments/16_6_2026/raw/TEK00047.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0013","16_6_2026","2026_Vernier_Batch1_Row4","V7","single_ring_2","drop_single","V7_single_ring_2_drop_single","16_6_2026","experiments/16_6_2026/raw/TEK00048.csv","experiments/16_6_2026/raw/TEK00049.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0014","16_6_2026","2026_Vernier_Batch1_Row4","V8","single_ring_1","through","V8_single_ring_1_through","16_6_2026","experiments/16_6_2026/raw/TEK00050.csv","experiments/16_6_2026/raw/TEK00051.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0015","16_6_2026","2026_Vernier_Batch1_Row4","V8","single_ring_1","drop_single","V8_single_ring_1_drop_single","16_6_2026","experiments/16_6_2026/raw/TEK00052.csv","experiments/16_6_2026/raw/TEK00053.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0016","16_6_2026","2026_Vernier_Batch1_Row4","V8","single_ring_2","through","V8_single_ring_2_through","16_6_2026","experiments/16_6_2026/raw/TEK00054.csv","experiments/16_6_2026/raw/TEK00055.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
"rec_0017","16_6_2026","2026_Vernier_Batch1_Row4","V8","single_ring_2","drop_single","V8_single_ring_2_drop_single","16_6_2026","experiments/16_6_2026/raw/TEK00056.csv","experiments/16_6_2026/raw/TEK00057.csv","2026-06-18T16:29:49","2026-06-18T18:03:37","True","","","","","","","","",""
