"date","device","sub-device","port","folder","trigger path","channel path","trigger","channel","short form","name","EO (ring 1)","EO (ring 2)","temperature","TEC (V)","TEC (I)","TO (V)","TO (I)","radius","waveguide width","coupling width","coupling gap","coupling angles","Ql","Qi","Qc","ng","loss dB/cm","a","t","power","comments"
"16_6_2026","single_bus","single_bus","single_bus","./experiments/16_6_2026/raw/","TEK00027","TEK00026","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V10","single_ring_1","through","./experiments/16_6_2026/raw/","TEK00023","TEK00022","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V10","single_ring_1","drop","./experiments/16_6_2026/raw/","TEK00025","TEK00024","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V10","single_ring_2","through","./experiments/16_6_2026/raw/","TEK00029","TEK00028","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V10","single_ring_2","drop","./experiments/16_6_2026/raw/","TEK00031","TEK00030","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V5","single_ring_1","through","./experiments/16_6_2026/raw/","TEK00033","TEK00032","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V5","single_ring_1","drop","./experiments/16_6_2026/raw/","TEK00035","TEK00034","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V5","single_ring_2","through","./experiments/16_6_2026/raw/","TEK00037","TEK00036","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V5","single_ring_2","drop","./experiments/16_6_2026/raw/","TEK00039","TEK00038","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V7","single_ring_1","through","./experiments/16_6_2026/raw/","TEK00043","TEK00042","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V7","single_ring_1","drop","./experiments/16_6_2026/raw/","TEK00045","TEK00044","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V7","single_ring_2","through","./experiments/16_6_2026/raw/","TEK00047","TEK00046","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V7","single_ring_2","drop","./experiments/16_6_2026/raw/","TEK00049","TEK00048","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V8","single_ring_1","through","./experiments/16_6_2026/raw/","TEK00051","TEK00050","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V8","single_ring_1","drop","./experiments/16_6_2026/raw/","TEK00053","TEK00052","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V8","single_ring_2","through","./experiments/16_6_2026/raw/","TEK00055","TEK00054","","","","","","","","","","","","","","","","","","","","","","","","",""
"16_6_2026","V8","single_ring_2","drop","./experiments/16_6_2026/raw/","TEK00057","TEK00056","","","","","","","","","","","","","","","","","","","","","","","","",
